text,label
Perusahaan Bir Corona 'Sial' Gara-gara Virus Corona,0
Maruf amin Minta Guru Honorer Maklumi Gaji Kecil Karena Imbalannya Surga,1
"Tangkapan Layar Artikel CNN Indonesia dengan Judul ""TEKA-TEKI KEHADIRAN ADE ARMANDO DI GEDUNG DPR-RI, BABAK BELUR DI HAJAR SEKELOMPOK ORANG TERJAWAB SUDAH""",1
"Pilih Partai Golkar, Jangan PDIP",1
Kader PKS Sebut  Poligami untuk Rakyat! Masa Depan Bangsa Indonesia,1
China Minta Persetujuan Bunuh 20 Ribu Pasien Virus Corona,1
"Berstatus ODP, 6 Pemandu Lagu di Kafe Remang di Mamasa Terjaring Razia",0
E-Tilang di Kota Tegal,1
Akun Facebook Mengatasnamakan Cabup Kepulauan Meranti,1
Pengusaha Ngeluh Pengguna Tol Susut Imbas Banjir,0
Pupuk Berlogo Palu Arit,1
Menepuk Telapak Tangan dengan Sendok Dapat Menghilangkan Kesemutan dan Strok,1
Saat Remaja Laki-laki Jadi Korban Kekerasan Seksual,0
Masih Salah Paham dengan Kalung Mirip Salib Luna Maya?,0
"Reno 3 Pro Tanpa 5G Dirilis, Apa Daya Tariknya?",0
"Mumpung #dirumahaja, Saatnya Usir Virus dari Helm",0
Penguasaan 51 Persen Saham Freeport oleh Pemerintah Bohong Besar,1
DPRD Surabaya Minta Pemkot Segera Lakukan Karantina Wilayah,0
"Sudah Dijamin Masuk Surga, Pendukung Prabowo Tidak Puasa",1
Video Angin Monsun di Parepare,1
Ketua MPR Gelar Rapid Test untuk Anggota Keluarga Besar Polri,0
Video Penanganan Kiriman Paket Tidak Sesuai Standar Pelayanan Oleh Pihak J&T,1
Poster Turnamen SSB Se-Jawa Timur,1
1.000 Paket Sembako Dibagikan ke Warga di Depok,0
Semua Pembicaraan Pemilik KTP-el Disadap Komunis Tiongkok,1
Greysia/Apriyani Langsung Tersingkir di Babak Pertama All England,0
"Pamer Ayam Panggang Bikinannya, Pria Ini Disangka Panggang Kucing",0
Ajakan Tolak PPKM Darurat di Pekalongan,1
Satu Keluarga Tewas Tertimbun Tanah Longsor Di Tana Toraja Sulsel,0
Alex Marquez: Butuh Hari Sempurna untuk Kalahkan Marc,0
Demonstrasi Menolak Aturan Pembatasan BBM di SPBU,1
3 Positif Corona dan 9 PDP di Sulsel Resmi Dilaporkan Sembuh,0
"Salat Id di Rumah, Anies dan Keluarga Lebaran Lewat Virtual",0
Akun Facebook Mengatasnamakan Sekretaris Daerah Kota Pekanbaru Muhammad Jamil,1
"Nikita Unggah Lagi Rekaman Suara Diduga Sajad Ukra, Dirinya Disebut Pelacur",0
"Diskon UKT Batal, Wamenag: Mahasiswa Boleh Sampaikan Banding ke Rektor",0
Tarif Pelamar Kerja Lulusan S1 Rp 25 Juta,1
Bank Indonesia Menyita Rekening Nadiem Makarim,1
Pelaku Begal Pedagang Nasi Uduk Pakai Pedang yang Viral di Palembang Ditangkap,0
Psikolog: Kerumunan Saat McD Sarinah Tutup Tanda Kurang Empati,0
"Video Pembegalan di Jl. Ikan Gurame, Perak Barat",1
Postingan Akun Facebook Anggota Polisi Baharudin Hamza,1
"Kasus Istri ML di Sebelah Suami Tidur, Selingkuhan Diamankan di Polres",0
Denda Rp500 Juta jika Mengonsumsi Obat Herbal dan Menolak Vaksinasi Akibat Perjanjian WHO Pandemic Treaty,1
Pengidap Diabetes Tidak Boleh Mengkonsumsi Karbohidrat,1
Rich Brian Bagikan Hadiah ke Teman-temannya Pakai Drone!,0
RK: RI Perlu Tes 2 Juta Penduduk untuk Lihat Peta Utuh Sebaran Corona,0
Warga Mengeluh Kemang Utara 6 Kali Kebanjiran di Awal 2020,0
Megadosis Vitamin C untuk Penyembuhan dan Menjaga Kesehatan Tubuh,1
Pelabuhan Dunia Kolaborasi Pastikan Pelayanan Tak Terganggu Saat Pandemi,0
"RS Persahabatan Punya 24 Tempat Tidur Pasien Suspect Corona, 16 Terisi",0
Ditemukan Telur Buaya di Tepi Kali Cengkareng,1
Kasihan Koala...,0
SBY Sampaikan Selamat ke Mari Pangestu Jadi Direktur Bank Dunia,0
Bupati Bengkalis Berikan Bantuan Lewat WhatsApp,1
"Nyinyir ke Maia Estianty, Roy Suryo Diingatkan (Lagi) soal Panci Inventaris",0
Paket Bantuan Medis Tangani Corona dari China Tiba di Jakarta,0
Maskapai Inggris Berhenti Operasi Dihantam Corona,0
Menuangkan Coca-cola ke Daging Babi Mentah Menyebabkan Cacing Muncul,1
Kapolres Klaim Kriminalitas di Jaksel Turun Selama PSBB DKI,0
Pemberlakuan Lockdown Sumbar Mulai Senin 27 April 2020,1
Produk Buah dan Sayuran Asal China Akan Banjiri Pasar Indonesia,1
Tak Sesuai KBLI Terbaru Maka Izin Usaha Akan Dibekukan,1
Whatsapp Diblok Pada Aksi 22 Mei 2019,1
Video Monas Dikelilingi Balon Udara Bergambar Ganjar-Mahfud pada 14 November 2023,1
Wanita-wanita Hebat Ini Arungi Lautan Perangi Sampah Plastik,0
"Netflix Dibidik MUI, Dibela Netizen",0
Pertamina Tambah 4 Pertashop di 3 Provinsi,0
"Korban Banjir Tersetrum Listrik, Bagaimana Bisa Membuat Orang Meninggal?",0
Sisa kWh di Meteran Listrik Tidak Hangus saat Periode Diskon Berakhir,1
"12 Hari Mengaspal, Ratusan Unit KIA Seltos Dipesan",0
"Ribuan Ulat Bulu Menyerang di Perumahan di Bekasi, Ini Penyebabnya",0
Surat Bantuan Ramadhan Mengatasnamakan Dit PD Pontren Kemenag RI,1
WHO Akui Mpox adalah Efek Samping Virus Covid-19,1
Perjuangan Pembatik Lasem di Tengah Corona,0
"Hargai Perjuangan, Prabowo Undang Veteran Operasi Seroja ke Hambalang",0
Cacar Monyet Hanya Ditularkan Melalui Hubungan Seksual Sesama Laki-Laki,1
Video Anthony Fauci Rencanakan Sebarkan Virus Influenza Baru,1
Tak Ada Media Besar yang Beritakan Pemprov DKI Sabet 9 Penghargaan di Bidang Kehumasan,1
"Lacak Jejak Harun Masiku, Duo Wasekjen PD Bakal Sambangi PTIK",0
FOTO: Honda BeAT Street yang Disulap Jadi Supermoto,0
Cerita Valentino Rossi 'Kocar-kacir' Cari Toilet di Sirkuit Jerez,0
KPK Panggil Bupati Tulungagung Jadi Saksi Kasus Suap Pengesahan APBD,0
Penemuan Mayat Korban Gantung Diri Dekat SDN 1 Delingan,1
Wagub Banten Duga Banjir Lebak Akibat Hujan Ekstrem hingga Tambang Liar,0
Pernyataan Negatif Terkait Vaksinasi oleh Ombudsman Republik Indonesia,1
Mengangkat Kaki Setelah Hubungan Intim dapat Meningkatkan Peluang Hamil ?,1
Pasien Positif Corona di Sumut Bertambah 1 Orang,0
"Kecelakaan Antara Truk Sampah-Pendendara Motor di Jakbar, 1 Orang Tewas",0
Penemuan Tengkorak Manusia Buat Geger Warga Musi Rawas Sumsel,0
Tempat yang Bisa Jadi 'Sarang' Virus Corona Saat Negara Longgarkan Lockdown,0
Buah Anggur dalam Box Terbuka Ada Dugaan Dipasok dari Cina,1
Shin Tae-yong Mengundurkan Diri Usai Timnas Kalah dari China,1
Membumikan Bikini di Tempat Umum dengan Selfie,1
Poltracking Rilis Hasil Survei Pilkada Kabupaten Karawang Periode Survei 1-7 September 2024,1
"Sidang Pembunuhan Hakim Jamaluddin Digelar Online, Terdakwa Tetap di Rutan",0
Ventilator Membunuh Semua Pasien Covid-19,1
"Dear Ortu, Sudah Tahu Penerimaan Peserta Didik Baru Tahun Ini Beda?",0
Warga Kaliajir Positif Virus Corona,1
Mal di DKI Mau Buka Lagi? Anies Jadi Penentunya,0
Pendukung Prabowo Berbeda Dengan Prinsip Pendukung Sandi,1
Gubernur Sulsel Akan Observasi Ulang Warganya Usai Dikarantina di Natuna,0
Kemenkes Jelaskan Cairan Penyemprot WNI dari Wuhan yang Dibahas Netizen,0
Roket SpaceX Meledak Sehari Sebelum Peluncuran Bersejarah,0
"2 Guru PAUD Jadi Tersangka, Balita Yusuf Tanpa Kepala Diduga Tewas Tercebur",0
"Terinfeksi Corona, Berat Badan Perawat Ini Turun hingga 22 Kg",0
Penculikan Anak di SDN Penggilingan 01 Cakung,1
Video Detik-detik Gunung Semeru Meletus,1
"92% Rakyat Sumatera Tidak Akui Jokowi Sebagai Presiden, Edy Semprot Awak Media Kompas",1
Akun WhatsApp Mengatasnamakan Telkomsel,1
Duka Andra Ramadhan Kenang Kepergian Erwin Prasetya,0
"Demi Bayar THR Karyawan, Pengusaha Mal Perlu Insentif?",0
"Kominfo Sebut Netflix Mau Bayar Pajak, Tapi...",0
"Luhut hingga Edhy Prabowo Rapat di Kantor Basuki, Ini Hasilnya",0
Menkeu Sri Mulyani Gabung Menjadi Tim Sukses Ganjar Pranowo-Mahfud MD,1
"Mobil Listrik Vs Mobil BBM, Mana yang Paling Gampang Terbakar?",0
Video Pemecatan Mahfud MD dari Jabatan Menko Polhukam,1
Dokter Tompi Temukan Obat Papiloma dan Skin Tag yang Susah Dicari,1
"Jadi Gadis Tomboi, Prilly Latuconsina Belajar Duduk Mengangkang",0
Mahasiswa Perantau di Bengkulu dapat Beras Gratis Selama Masa Pandemi Corona,0
Arab Saudi Kucurkan Dana Hibah 5 Triliun ke Indonesia,1
Polres Cilegon Batasi 120 Pemohon SIM Per Hari,0
